agencykey|employeeskey|commercialkey|customerskey|productcategorykey|productkey|orderdatekey|requireddatekey|shippeddatekey|statuskey|ordernumber|orderlinenumber|quantityordered|priceeach|amount|numberofitems
8F14E45FCEEA167A5A36DEDD4BEA2543|5CBDFD0DFA22A3FCA7266376887F549B|5CBDFD0DFA22A3FCA7266376887F549B|1CDCC7107B3BA69B81FFB18AD3B32670|ADD43E19C8A3933DB4E494C5ADA4387C|078724EC055F34A0E97D69B371D4D6A3|2020-11-06|2020-11-14|2020-11-09|747CF5C8587184B9E489FF897D97C20D|10175|6|28|121.40|3399.20|1
A87FF679A2F3E71D9181A67B7542122C|9701A1C165DD9420816BFEC5EDD6C2B1|9701A1C165DD9420816BFEC5EDD6C2B1|B9555E741C9F96CAB1DED3CC710F191E|ADD43E19C8A3933DB4E494C5ADA4387C|0972F9FACCAF254B756F21A2AC83C133|2020-10-21|2020-10-30|2020-10-23|F691F042A559B1C1A4F89826C6F75760|10164|8|36|103.84|3738.24|1
A87FF679A2F3E71D9181A67B7542122C|E48E13207341B6BFFB7FB1622282247B|E48E13207341B6BFFB7FB1622282247B|61249574B3D6FAE431906B3BE1D503D3|F9ECED7271ACE37EAE7270210B2BAC2A|A181F8CD4CE8A072A435492775FF4478|2020-07-01|2020-07-10|2020-07-05|747CF5C8587184B9E489FF897D97C20D|10134|7|43|75.41|3242.63|1
C4CA4238A0B923820DCC509A6F75849B|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|6DF2CF4562641567D6FFF1B3E53E2343|4D091C3139A28C131B75656586631457|31531B6E3B822999D022C69454793DA8|2022-03-23|2022-04-02|2022-03-28|747CF5C8587184B9E489FF897D97C20D|10396|6|49|100.77|4937.73|1
8F14E45FCEEA167A5A36DEDD4BEA2543|5CBDFD0DFA22A3FCA7266376887F549B|5CBDFD0DFA22A3FCA7266376887F549B|2BAEE22BAF7F619D535A09422F26E389|9029FF9E9C7721FA20D4E54A8E7CE473|F34545F669CD9E80F53B6C599653D789|2021-10-14|2021-10-21|2021-10-17|747CF5C8587184B9E489FF897D97C20D|10306|16|23|126.39|2906.97|1
A87FF679A2F3E71D9181A67B7542122C|D1EE59E20AD01CEDC15F5118A7626099|D1EE59E20AD01CEDC15F5118A7626099|6F4D69D9E2F053B895796FF3D140BD77|4D091C3139A28C131B75656586631457|10174F4383E1B1CE3BDB15281D4DEF8C|2021-10-29|2021-11-08|2021-10-30|747CF5C8587184B9E489FF897D97C20D|10315|2|41|60.67|2487.47|1
A87FF679A2F3E71D9181A67B7542122C|D1EE59E20AD01CEDC15F5118A7626099|D1EE59E20AD01CEDC15F5118A7626099|CD8F7B1F0F39C689E498428DC1BD2A99|9029FF9E9C7721FA20D4E54A8E7CE473|F6FF19DF566D3115CBBC327770651CF1|2021-12-02|2021-12-08|2021-12-05|747CF5C8587184B9E489FF897D97C20D|10350|5|26|110.16|2864.16|1
C81E728D9D4C2F636F067F89CC14862C|3948EAD63A9F2944218DE038D8934305|3948EAD63A9F2944218DE038D8934305|61DB7FFF36E5E48CB7AB02E66C5BBE0F|ADD43E19C8A3933DB4E494C5ADA4387C|9901D163E383EB8FEFEB1DA8A5B5F722|2021-10-13|2021-10-22|2021-10-15|747CF5C8587184B9E489FF897D97C20D|10305|7|40|48.70|1948.00|1
A87FF679A2F3E71D9181A67B7542122C|B9F94C77652C9A76FC8A442748CD54BD|B9F94C77652C9A76FC8A442748CD54BD|F9312512AEB3A956B16709706A64E540|9029FF9E9C7721FA20D4E54A8E7CE473|D0BF049073D881F6F4919C5365599358|2021-08-30|2021-09-06|2021-09-01|747CF5C8587184B9E489FF897D97C20D|10287|10|45|117.44|5284.80|1
A87FF679A2F3E71D9181A67B7542122C|9701A1C165DD9420816BFEC5EDD6C2B1|9701A1C165DD9420816BFEC5EDD6C2B1|20017407F3CF9B561B78DF6C43EAB4DE|ADD43E19C8A3933DB4E494C5ADA4387C|5E6B3F0C61B86063E75BA4D9635C13F8|2021-02-09|2021-02-16|2021-02-11|747CF5C8587184B9E489FF897D97C20D|10218|1|22|110.46|2430.12|1
8F14E45FCEEA167A5A36DEDD4BEA2543|49B8B4F95F02E055801DA3B4F58E28B7|49B8B4F95F02E055801DA3B4F58E28B7|6F541DCE51A37462A3710601451FB6F4|9029FF9E9C7721FA20D4E54A8E7CE473|CCE887CFB96DCFB674FF04B79239A4F6|2020-11-20|2020-11-30|2020-11-24|747CF5C8587184B9E489FF897D97C20D|10191|4|30|70.22|2106.60|1
A87FF679A2F3E71D9181A67B7542122C|9701A1C165DD9420816BFEC5EDD6C2B1|9701A1C165DD9420816BFEC5EDD6C2B1|2B50A529E93C13304F3C4C870D9EDD59|4D091C3139A28C131B75656586631457|EA360588E88007F6A0F19CE1BF18DCD6|2021-07-21|2021-07-28|2021-07-22|747CF5C8587184B9E489FF897D97C20D|10273|8|40|91.15|3646.00|1
8F14E45FCEEA167A5A36DEDD4BEA2543|49B8B4F95F02E055801DA3B4F58E28B7|49B8B4F95F02E055801DA3B4F58E28B7|B40EA101BB1F7E1951C23255D9185B4F|BDD4286459900F7788990A266EAF5E28|F6B096E9D9B0496431FEDC886C3553EE|2020-11-18|2020-11-26|2020-11-24|747CF5C8587184B9E489FF897D97C20D|10188|8|29|96.11|2787.19|1
C4CA4238A0B923820DCC509A6F75849B|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|2975A4BE18255BE55D3BAB45EA5DE449|D39B79B3341F1B50B921D2C8F9CB9198|4AE41B58006AC2420C7997D2D7B5E4CD|2020-03-25|2020-03-31|2020-03-30|747CF5C8587184B9E489FF897D97C20D|10111|3|26|85.70|2228.20|1
A87FF679A2F3E71D9181A67B7542122C|E48E13207341B6BFFB7FB1622282247B|E48E13207341B6BFFB7FB1622282247B|0D8DD7C18CA0C617265BD4E5E0FFC821|F9ECED7271ACE37EAE7270210B2BAC2A|E11D762E4F4DCF1D6D89B3BB4A2453C0|2021-01-15|2021-01-25|2021-01-18|747CF5C8587184B9E489FF897D97C20D|10211|13|36|126.52|4554.72|1
E4DA3B7FBBCE2345D7772B0674A318D5|4462BF0DDBE0D0DA40E1E828EBEBEB11|4462BF0DDBE0D0DA40E1E828EBEBEB11|F632E942A4B57B0C1380C73DA22BBFFD|BDD4286459900F7788990A266EAF5E28|A845CCBEBD5942073BE1131784111AF6|2021-01-12|2021-01-22|2021-01-20|747CF5C8587184B9E489FF897D97C20D|10210|12|21|87.69|1841.49|1
C4CA4238A0B923820DCC509A6F75849B|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|C0BDA60CBCFBBF8E4615E4F297F52820|F9ECED7271ACE37EAE7270210B2BAC2A|078CBE09F622739748CCC53D0B2BD402|2020-10-28|2020-11-03|2020-11-01|747CF5C8587184B9E489FF897D97C20D|10168|5|46|49.06|2256.76|1
C4CA4238A0B923820DCC509A6F75849B|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|6DF2CF4562641567D6FFF1B3E53E2343|D39B79B3341F1B50B921D2C8F9CB9198|FE5B006C08EAD5CA0BF6025F74B0C7BF|2021-12-10|2021-12-16|2021-12-14|747CF5C8587184B9E489FF897D97C20D|10357|5|49|59.34|2907.66|1
C4CA4238A0B923820DCC509A6F75849B|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|6DF2CF4562641567D6FFF1B3E53E2343|ADD43E19C8A3933DB4E494C5ADA4387C|F793A1B2E4FF940B1A5FFD67051A8B96|2021-03-11|2021-03-20|2021-03-12|747CF5C8587184B9E489FF897D97C20D|10229|10|41|119.87|4914.67|1
A87FF679A2F3E71D9181A67B7542122C|9701A1C165DD9420816BFEC5EDD6C2B1|9701A1C165DD9420816BFEC5EDD6C2B1|88964F97BE967BC16B4B2866114A748C|ADD43E19C8A3933DB4E494C5ADA4387C|E165AF9A813FCB844CC7D6D8DD073700|2021-10-22|2021-11-01|2021-10-23|747CF5C8587184B9E489FF897D97C20D|10314|12|28|115.75|3241.00|1
8F14E45FCEEA167A5A36DEDD4BEA2543|49B8B4F95F02E055801DA3B4F58E28B7|49B8B4F95F02E055801DA3B4F58E28B7|AF37C38D6B264D5924746E04E4A9AA37|9029FF9E9C7721FA20D4E54A8E7CE473|CCE887CFB96DCFB674FF04B79239A4F6|2022-03-03|2022-03-09|2022-03-08|747CF5C8587184B9E489FF897D97C20D|10389|7|36|76.61|2757.96|1
8F14E45FCEEA167A5A36DEDD4BEA2543|5CBDFD0DFA22A3FCA7266376887F549B|5CBDFD0DFA22A3FCA7266376887F549B|1CDCC7107B3BA69B81FFB18AD3B32670|ADD43E19C8A3933DB4E494C5ADA4387C|6031E9F731FFC18960063C02390CBBAA|2020-11-06|2020-11-14|2020-11-09|747CF5C8587184B9E489FF897D97C20D|10175|8|22|89.57|1970.54|1
A87FF679A2F3E71D9181A67B7542122C|D1EE59E20AD01CEDC15F5118A7626099|D1EE59E20AD01CEDC15F5118A7626099|CD8F7B1F0F39C689E498428DC1BD2A99|ADD43E19C8A3933DB4E494C5ADA4387C|E165AF9A813FCB844CC7D6D8DD073700|2022-05-03|2022-05-13|2022-05-05|747CF5C8587184B9E489FF897D97C20D|10412|3|26|105.33|2738.58|1
A87FF679A2F3E71D9181A67B7542122C|9701A1C165DD9420816BFEC5EDD6C2B1|9701A1C165DD9420816BFEC5EDD6C2B1|A33F7737006802CDD4F0EA53DC507842|9029FF9E9C7721FA20D4E54A8E7CE473|F869D1827169A5B68989AEE6F949CF98|2021-09-09|2021-09-18|2021-09-14|747CF5C8587184B9E489FF897D97C20D|10293|8|46|187.02|8602.92|1
A87FF679A2F3E71D9181A67B7542122C|B9F94C77652C9A76FC8A442748CD54BD|B9F94C77652C9A76FC8A442748CD54BD|8027AA91AFC3E474FC16A974F8F0881E|4D091C3139A28C131B75656586631457|16C962CDC8531E4924C6BE533B7AB8D3|2020-11-07|2020-11-17|2020-11-12|747CF5C8587184B9E489FF897D97C20D|10177|6|40|52.96|2118.40|1
8F14E45FCEEA167A5A36DEDD4BEA2543|49B8B4F95F02E055801DA3B4F58E28B7|49B8B4F95F02E055801DA3B4F58E28B7|5BBFC82FD806AD51478ED0E004011423|F9ECED7271ACE37EAE7270210B2BAC2A|A181F8CD4CE8A072A435492775FF4478|2020-10-10|2020-10-18|2020-10-15|747CF5C8587184B9E489FF897D97C20D|10158|1|22|67.79|1491.38|1
8F14E45FCEEA167A5A36DEDD4BEA2543|49B8B4F95F02E055801DA3B4F58E28B7|49B8B4F95F02E055801DA3B4F58E28B7|5BBFC82FD806AD51478ED0E004011423|ADD43E19C8A3933DB4E494C5ADA4387C|0972F9FACCAF254B756F21A2AC83C133|2020-01-29|2020-02-07|2020-02-02|747CF5C8587184B9E489FF897D97C20D|10103|10|35|94.50|3307.50|1
A87FF679A2F3E71D9181A67B7542122C|9701A1C165DD9420816BFEC5EDD6C2B1|9701A1C165DD9420816BFEC5EDD6C2B1|9A75EA63C296EFCBC6A621EA49ED03A2|BDD4286459900F7788990A266EAF5E28|97A9D64D70C7E5B4F427946F21468F22|2021-11-10|2021-11-19|2021-11-13|F691F042A559B1C1A4F89826C6F75760|10327|8|45|74.34|3345.30|1
A87FF679A2F3E71D9181A67B7542122C|B9F94C77652C9A76FC8A442748CD54BD|B9F94C77652C9A76FC8A442748CD54BD|6AD04C80C1736A5B7E968265A3C9E719|D39B79B3341F1B50B921D2C8F9CB9198|C2C033FDE15D3AA59787DFC5E42D203A|2021-01-26|2021-02-04|2021-01-29|747CF5C8587184B9E489FF897D97C20D|10214|3|20|32.19|643.80|1
A87FF679A2F3E71D9181A67B7542122C|B9F94C77652C9A76FC8A442748CD54BD|B9F94C77652C9A76FC8A442748CD54BD|FFF0E117BCBC7D4E2DF50050D462E3FB|4D091C3139A28C131B75656586631457|EA360588E88007F6A0F19CE1BF18DCD6|2020-04-21|2020-04-29|2020-04-26|747CF5C8587184B9E489FF897D97C20D|10118|1|36|86.15|3101.40|1
C81E728D9D4C2F636F067F89CC14862C|3948EAD63A9F2944218DE038D8934305|3948EAD63A9F2944218DE038D8934305|E3EBB36EA3BC34EBD13A37187431A605|9029FF9E9C7721FA20D4E54A8E7CE473|F521AEE89A056B12A49EE0AA11CC6C5C|2021-11-04|2021-11-12|2021-11-07|747CF5C8587184B9E489FF897D97C20D|10321|7|27|126.72|3421.44|1
ECCBC87E4B5CE2FE28308FD9F2A7BAF3|4671AEAF49C792689533B00664A5C3EF|4671AEAF49C792689533B00664A5C3EF|4E1CBC46D375501AF8DDCC3AE3BAE7A2|9029FF9E9C7721FA20D4E54A8E7CE473|AA7E9946D1A9AC202E054533D271D4D2|2020-11-05|2020-11-14|2020-11-11|747CF5C8587184B9E489FF897D97C20D|10172|6|42|109.51|4599.42|1
ECCBC87E4B5CE2FE28308FD9F2A7BAF3|4671AEAF49C792689533B00664A5C3EF|4671AEAF49C792689533B00664A5C3EF|4E1CBC46D375501AF8DDCC3AE3BAE7A2|9029FF9E9C7721FA20D4E54A8E7CE473|F34545F669CD9E80F53B6C599653D789|2022-05-05|2022-05-14|2022-05-09|747CF5C8587184B9E489FF897D97C20D|10413|5|49|133.57|6544.93|1
ECCBC87E4B5CE2FE28308FD9F2A7BAF3|C0A271BC0ECB776A094786474322CB82|C0A271BC0ECB776A094786474322CB82|9143C9675E82845120CA0B18627B6CD1|D39B79B3341F1B50B921D2C8F9CB9198|E80A4301F7D24C8D1263F207E543A05A|2021-06-17|2021-06-25|2021-06-22|747CF5C8587184B9E489FF897D97C20D|10261|9|20|80.75|1615.00|1
C81E728D9D4C2F636F067F89CC14862C|C44E503833B64E9F27197A484F4257C0|C44E503833B64E9F27197A484F4257C0|75536B8F7357546215402210AF2A3DC2|9029FF9E9C7721FA20D4E54A8E7CE473|784CD0AC784A7F6F500CFC2081655CBA|2022-01-20|2022-01-28|2022-01-24|747CF5C8587184B9E489FF897D97C20D|10369|2|41|195.01|7995.41|1
C81E728D9D4C2F636F067F89CC14862C|3948EAD63A9F2944218DE038D8934305|3948EAD63A9F2944218DE038D8934305|CFF8EDBA74F8455856B60A7D9B446A6E|9029FF9E9C7721FA20D4E54A8E7CE473|8B7807BE133F14DE6287D39B618DE8F0|2020-11-20|2020-11-29|2020-11-25|747CF5C8587184B9E489FF897D97C20D|10192|15|45|70.84|3187.80|1
C4CA4238A0B923820DCC509A6F75849B|0F2C9A93EEA6F38FABB3ACB1C31488C6|0F2C9A93EEA6F38FABB3ACB1C31488C6|1B3C45D3F7594800459FB6D6EF0784B9|BDD4286459900F7788990A266EAF5E28|56CF3260A8F121D559A31E32368839A5|2020-08-25|2020-09-02|2020-08-31|747CF5C8587184B9E489FF897D97C20D|10145|16|40|87.54|3501.60|1
ECCBC87E4B5CE2FE28308FD9F2A7BAF3|C0A271BC0ECB776A094786474322CB82|C0A271BC0ECB776A094786474322CB82|CC24BB40A6B1BBB6343328BC97302A09|D39B79B3341F1B50B921D2C8F9CB9198|1C33F1AFC6B43CC763173E46037E0A86|2020-01-10|2020-01-18|2020-01-14|747CF5C8587184B9E489FF897D97C20D|10102|1|41|43.13|1768.33|1
A87FF679A2F3E71D9181A67B7542122C|9701A1C165DD9420816BFEC5EDD6C2B1|9701A1C165DD9420816BFEC5EDD6C2B1|6F9C08CBF8465AB59DF7DAC2FB8E19F0|BDD4286459900F7788990A266EAF5E28|A845CCBEBD5942073BE1131784111AF6|2021-11-12|2021-11-21|2021-11-18|747CF5C8587184B9E489FF897D97C20D|10328|8|27|84.03|2268.81|1
A87FF679A2F3E71D9181A67B7542122C|9701A1C165DD9420816BFEC5EDD6C2B1|9701A1C165DD9420816BFEC5EDD6C2B1|9A75EA63C296EFCBC6A621EA49ED03A2|9029FF9E9C7721FA20D4E54A8E7CE473|57FD2E5AA5F46BDA56AEB8CE6E94150F|2020-02-11|2020-02-21|2020-02-12|747CF5C8587184B9E489FF897D97C20D|10105|14|29|141.88|4114.52|1
1679091C5A880FAF6FB5E6087EB1B2DC|7A6A74CBE87BC60030A4BD041DD47B78|7A6A74CBE87BC60030A4BD041DD47B78|1F247542A7446249DE292661B84EC2EB|D39B79B3341F1B50B921D2C8F9CB9198|3D2C5AE32896AAF659C13BE05F08D76F|2020-11-21|2020-11-28|2020-11-27|747CF5C8587184B9E489FF897D97C20D|10193|9|20|44.80|896.00|1
C81E728D9D4C2F636F067F89CC14862C|3948EAD63A9F2944218DE038D8934305|3948EAD63A9F2944218DE038D8934305|CFF8EDBA74F8455856B60A7D9B446A6E|9029FF9E9C7721FA20D4E54A8E7CE473|A6027DFDCB80DFB5474AA4B223E1AB21|2020-11-20|2020-11-29|2020-11-25|747CF5C8587184B9E489FF897D97C20D|10192|14|45|112.34|5055.30|1
C4CA4238A0B923820DCC509A6F75849B|0F2C9A93EEA6F38FABB3ACB1C31488C6|0F2C9A93EEA6F38FABB3ACB1C31488C6|48CD3034F39A7BD6BE747F92F1D08E42|D39B79B3341F1B50B921D2C8F9CB9198|1C33F1AFC6B43CC763173E46037E0A86|2021-01-29|2021-02-08|2021-02-01|747CF5C8587184B9E489FF897D97C20D|10215|9|33|53.91|1779.03|1
A87FF679A2F3E71D9181A67B7542122C|B9F94C77652C9A76FC8A442748CD54BD|B9F94C77652C9A76FC8A442748CD54BD|8027AA91AFC3E474FC16A974F8F0881E|D39B79B3341F1B50B921D2C8F9CB9198|90796E71B563456DA22733A07E9C3D96|2020-11-07|2020-11-17|2020-11-12|747CF5C8587184B9E489FF897D97C20D|10177|9|23|113.37|2607.51|1
A87FF679A2F3E71D9181A67B7542122C|D1EE59E20AD01CEDC15F5118A7626099|D1EE59E20AD01CEDC15F5118A7626099|CD8F7B1F0F39C689E498428DC1BD2A99|9029FF9E9C7721FA20D4E54A8E7CE473|D0F181B5A2C953BC765033121C781277|2022-02-10|2022-02-18|2022-02-11|747CF5C8587184B9E489FF897D97C20D|10378|2|41|80.84|3314.44|1
C4CA4238A0B923820DCC509A6F75849B|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|6DF2CF4562641567D6FFF1B3E53E2343|D39B79B3341F1B50B921D2C8F9CB9198|C2C033FDE15D3AA59787DFC5E42D203A|2020-11-12|2020-11-21|2020-11-18|747CF5C8587184B9E489FF897D97C20D|10182|6|39|31.86|1242.54|1
ECCBC87E4B5CE2FE28308FD9F2A7BAF3|4671AEAF49C792689533B00664A5C3EF|4671AEAF49C792689533B00664A5C3EF|9C36FD4E5F5F66DFDD483D0A1277EF1C|4D091C3139A28C131B75656586631457|A3789F8BD1BFF6E657C17C6FCFCE19EB|2021-08-20|2021-08-30|2021-08-23|747CF5C8587184B9E489FF897D97C20D|10283|11|38|85.41|3245.58|1
ECCBC87E4B5CE2FE28308FD9F2A7BAF3|4671AEAF49C792689533B00664A5C3EF|4671AEAF49C792689533B00664A5C3EF|91838686F598A9E6F5D8BEE9CB5383ED|D39B79B3341F1B50B921D2C8F9CB9198|A549191C1FEEFB897B95B8AE83E68E4B|2021-03-29|2021-04-04|2021-04-02|747CF5C8587184B9E489FF897D97C20D|10233|2|40|70.81|2832.40|1
C4CA4238A0B923820DCC509A6F75849B|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|A3FB4FBF9A6F9CF09166AA9C20CBC1AD|2C7706EAAF79FC2997819A20D2D61615|9029FF9E9C7721FA20D4E54A8E7CE473|784CD0AC784A7F6F500CFC2081655CBA|2022-02-17|2022-02-25|2022-02-18|747CF5C8587184B9E489FF897D97C20D|10381|3|36|182.16|6557.76|1
C81E728D9D4C2F636F067F89CC14862C|3948EAD63A9F2944218DE038D8934305|3948EAD63A9F2944218DE038D8934305|37B1B6F1AA76C0F0647E60F375AFE3A3|4D091C3139A28C131B75656586631457|10174F4383E1B1CE3BDB15281D4DEF8C|2022-05-06|2022-05-13|9999-01-01|DC62632F03EEE6898D4D6FB982F8870A|10414|6|37|62.00|2294.00|1
ECCBC87E4B5CE2FE28308FD9F2A7BAF3|4671AEAF49C792689533B00664A5C3EF|4671AEAF49C792689533B00664A5C3EF|2A9A34567E142413194DFEB7E1CC5583|D39B79B3341F1B50B921D2C8F9CB9198|E80A4301F7D24C8D1263F207E543A05A|2021-05-07|2021-05-14|9999-01-01|A149E85A44AEEC9140E92733D9ED694E|10248|11|42|87.77|3686.34|1
A87FF679A2F3E71D9181A67B7542122C|9701A1C165DD9420816BFEC5EDD6C2B1|9701A1C165DD9420816BFEC5EDD6C2B1|B9555E741C9F96CAB1DED3CC710F191E|ADD43E19C8A3933DB4E494C5ADA4387C|F793A1B2E4FF940B1A5FFD67051A8B96|2020-10-21|2020-10-30|2020-10-23|F691F042A559B1C1A4F89826C6F75760|10164|3|45|107.76|4849.20|1
8F14E45FCEEA167A5A36DEDD4BEA2543|5CBDFD0DFA22A3FCA7266376887F549B|5CBDFD0DFA22A3FCA7266376887F549B|68FF58B52AF2F6DE173557650678F5FA|D39B79B3341F1B50B921D2C8F9CB9198|DC088CA90BDC8E33F2310E2697F1A0B0|2020-10-06|2020-10-16|2020-10-07|747CF5C8587184B9E489FF897D97C20D|10302|1|43|166.60|7163.80|1
A87FF679A2F3E71D9181A67B7542122C|9701A1C165DD9420816BFEC5EDD6C2B1|9701A1C165DD9420816BFEC5EDD6C2B1|20017407F3CF9B561B78DF6C43EAB4DE|9029FF9E9C7721FA20D4E54A8E7CE473|716B7030B907803AC26042FCC0FB727C|2021-02-09|2021-02-16|2021-02-11|747CF5C8587184B9E489FF897D97C20D|10218|2|34|152.41|5181.94|1
C81E728D9D4C2F636F067F89CC14862C|3948EAD63A9F2944218DE038D8934305|3948EAD63A9F2944218DE038D8934305|89FA91254FEEA59CA84087DE8ED2FDCC|BDD4286459900F7788990A266EAF5E28|277A094F9644FAA9FBEF9D0F303CE65F|2021-12-03|2021-12-12|2021-12-09|747CF5C8587184B9E489FF897D97C20D|10352|2|49|87.75|4299.75|1
8F14E45FCEEA167A5A36DEDD4BEA2543|49B8B4F95F02E055801DA3B4F58E28B7|49B8B4F95F02E055801DA3B4F58E28B7|5B35545E1A55678B1A494C68202CC02D|BDD4286459900F7788990A266EAF5E28|F538A00BE0DE5109AD437AAEF67BF59F|2021-09-15|2021-09-22|2021-09-16|747CF5C8587184B9E489FF897D97C20D|10296|10|21|46.68|980.28|1
A87FF679A2F3E71D9181A67B7542122C|D1EE59E20AD01CEDC15F5118A7626099|D1EE59E20AD01CEDC15F5118A7626099|CD8F7B1F0F39C689E498428DC1BD2A99|9029FF9E9C7721FA20D4E54A8E7CE473|34761F028E94E40DE0AADA4F85C5CE2A|2021-01-16|2021-01-24|2021-01-18|747CF5C8587184B9E489FF897D97C20D|10212|10|29|117.48|3406.92|1
A87FF679A2F3E71D9181A67B7542122C|E48E13207341B6BFFB7FB1622282247B|E48E13207341B6BFFB7FB1622282247B|0D8DD7C18CA0C617265BD4E5E0FFC821|9029FF9E9C7721FA20D4E54A8E7CE473|8CB7D95A9F0E6B34114FE9CE42AADA25|2021-05-26|2021-06-04|2021-05-29|747CF5C8587184B9E489FF897D97C20D|10252|4|26|127.97|3327.22|1
